length,chroma_stft_mean,chroma_stft_var,rms_mean,rms_var,spectral_centroid_mean,spectral_centroid_var,spectral_bandwidth_mean,spectral_bandwidth_var,rolloff_mean,rolloff_var,zero_crossing_rate_mean,zero_crossing_rate_var,harmony_mean,harmony_var,perceptr_mean,perceptr_var,tempo,mfcc1_mean,mfcc1_var,mfcc2_mean,mfcc2_var,mfcc3_mean,mfcc3_var,mfcc4_mean,mfcc4_var,mfcc5_mean,mfcc5_var,mfcc6_mean,mfcc6_var,mfcc7_mean,mfcc7_var,mfcc8_mean,mfcc8_var,mfcc9_mean,mfcc9_var,mfcc10_mean,mfcc10_var,mfcc11_mean,mfcc11_var,mfcc12_mean,mfcc12_var,mfcc13_mean,mfcc13_var,mfcc14_mean,mfcc14_var,mfcc15_mean,mfcc15_var,mfcc16_mean,mfcc16_var,mfcc17_mean,mfcc17_var,mfcc18_mean,mfcc18_var,mfcc19_mean,mfcc19_var,mfcc20_mean,mfcc20_var,filename,Genre,TrackID,label
3.0,0.4039567,0.081670485,0.14601046,0.00055029534,2656.5497324808744,227227.59901487085,2380.406003275512,76436.29592080342,5170.950270432692,1132271.6461146374,0.15999474158653845,0.0016911557581297744,-4.863501e-06,0.013271925,0.000121596255,0.0033428427,129.19921875,-45.327805,1131.3213,77.795555,543.0368,-19.029135,171.84473,34.45925,116.95859,-0.66966295,68.02396,-1.6763322,61.42475,-6.2791944,45.784092,11.424694,46.535637,-7.5016093,59.739063,1.8399138,23.735653,5.8906264,53.84513,-9.897606,45.42889,-9.3170185,64.02499,10.723298,66.080574,-11.697723,26.332045,-2.6023788,40.461884,-7.058667,43.702736,-3.279074,30.176819,-12.615014,20.676428,4.2594595,31.226484,World-TRWGEDC128F427EF4F-4,World,TRWGEDC128F427EF4F,World
3.0,0.40188935,0.08444789,0.30109307,0.0086058285,2399.2697582403416,623270.6191609763,2722.8165483316557,178480.5191210315,5427.775127704327,3318824.768455106,0.0824444110576923,0.0017587898750982343,-7.909721e-05,0.050531488,0.0006250685,0.022528686,129.19921875,-30.933622,1891.1411,84.83093,620.99146,7.068568,258.80823,18.271132,232.13315,15.265295,81.121704,13.0089035,106.17629,0.7249016,95.53439,5.202303,61.691235,4.559727,43.180294,1.957828,56.670193,-0.30031395,52.598873,6.6023145,68.07955,5.6499624,88.601776,8.065181,87.91793,3.9273512,95.055336,2.9870784,110.83374,-3.4777904,64.56066,1.7905053,51.6713,1.946735,60.93478,3.77813,64.997856,World-TRDJJIG128F1452772-6,World,TRDJJIG128F1452772,World
3.0,0.3847704,0.08936087,0.14974244,0.0070850016,1979.111017419766,1377517.878292895,2104.7441208278533,432387.4312824968,3763.5069861778848,4959562.449804284,0.09036583533653846,0.0079767454164268,-1.8370662e-05,0.0074456893,-3.8975726e-05,0.013050511,92.28515625,-158.74345,14117.021,111.54219,2097.329,2.0088928,1844.8866,31.478218,417.14407,12.482806,532.41205,-11.847363,246.50763,-3.7514205,143.96599,11.779946,159.4423,-16.58668,158.83264,2.0264072,100.16197,-9.454488,93.96035,-3.5838614,112.533104,-2.1938927,58.193314,-5.604914,81.57632,-2.507312,95.085396,-2.4256206,31.12361,-5.7942,44.5902,-8.150628,69.07988,-0.73430055,40.570827,-0.40554798,73.87665,World-TRRSGMK128F428B827-4,World,TRRSGMK128F428B827,World
3.0,0.3661216,0.08698347,0.05227384,0.00036734607,1645.144462937747,1015826.322559798,2117.1493186365087,629990.0295197096,3418.1475360576924,5478009.1651422735,0.05813927283653846,0.0021956047221753723,-4.2540876e-05,0.0023663614,1.4752907e-05,0.0002463613,129.19921875,-238.23065,2649.7053,150.93086,1472.6161,11.60036,825.5346,8.110655,301.90555,8.259504,72.63212,5.9946585,230.58032,11.879511,188.33905,-0.14649095,287.06915,1.6198071,106.869064,17.438751,44.089092,-4.0254726,67.62391,2.1899745,44.339523,-5.1479735,180.53014,12.617992,136.17268,-8.68885,105.61214,2.6580875,80.76127,-0.93912864,58.206997,4.5174513,55.43225,-2.3329675,74.764,-4.6074753,36.666683,World-TRQACQT128F9316E5E-3,World,TRQACQT128F9316E5E,World
3.0,0.34309253,0.07846539,0.20437399,0.0022114846,1347.9408860548162,263375.5892385875,1986.2762840979522,223325.26609314268,2976.219951923077,2322986.2782307635,0.04485802283653846,0.0002976908627346422,-5.112713e-05,0.035899766,-0.00010920198,0.0027017794,123.046875,-137.95033,2169.5464,125.63557,589.53784,9.783021,155.69696,24.06701,251.88402,5.598706,122.36899,24.364792,66.79385,9.850825,82.2687,25.701532,113.11982,-0.64856917,85.04686,5.6866946,95.52677,-8.89243,55.348907,1.2828035,65.70973,0.9168556,98.31863,11.143423,137.33797,7.166124,68.73092,4.4451265,50.846394,-3.4865012,53.741936,-2.660994,48.276268,-13.049332,46.03466,-5.4232645,68.65933,World-TRQLXLM128F427CA0D-7,World,TRQLXLM128F427CA0D,World
3.0,0.3479119,0.08805487,0.18667778,0.0016594119,1162.4502078711207,66720.4927230937,1677.5521489931716,56563.14046777384,2343.7235201322114,305514.4805544579,0.043704927884615385,0.0001682914079293697,0.00012568566,0.029786987,0.00027005357,0.0023110483,129.19921875,-132.49109,1251.8654,142.71451,275.35696,-6.7189236,110.45804,42.1743,97.93071,15.199081,53.767853,10.565608,107.60434,-0.9684649,71.88838,2.9369977,60.086563,-7.2610927,70.80326,-4.093153,64.05102,-6.5447054,119.250656,-10.214335,38.951717,-7.3117223,38.313576,6.9468026,31.5047,-0.2300354,31.649595,3.2339096,30.82465,-4.1157618,37.811855,-2.3457716,20.646759,1.4119653,45.654636,2.608637,45.863926,World-TREFYAS128F92D7A12-5,World,TREFYAS128F92D7A12,World
3.0,0.38776433,0.08218781,0.25160876,0.0015925092,2085.497104985471,292191.5123822586,2302.466531824568,147595.1754998738,4188.870567908654,1859608.503412777,0.09179311899038461,0.0009604618958467563,-9.980933e-06,0.03474611,-2.615116e-05,0.011054129,95.703125,-20.928438,1243.7112,104.06732,348.44885,-10.314876,358.80627,37.900875,316.3058,11.559253,146.02159,-1.3945489,145.8341,2.1869671,66.905975,-2.355386,49.470093,-7.7672653,66.022354,6.562468,34.236073,-3.1877947,38.219612,-2.6411178,41.787037,-1.6249769,43.160404,-1.833079,36.54172,-4.038601,53.90052,9.224958,32.440617,-5.6768246,40.524452,1.3815038,42.530796,2.5769165,27.208347,-0.35298228,45.56447,World-TRTVIGE128F149B8FD-5,World,TRTVIGE128F149B8FD,World
3.0,0.26977667,0.08490902,0.14705785,0.002911194,2505.129184077191,405683.07293877593,2630.799700746045,98883.24889433681,5488.565016526442,1285006.1174288657,0.08700045072115385,0.002793038681414,-8.671745e-05,0.019523747,-0.00014665649,0.002064078,99.38401442307692,-106.473045,1260.483,69.02212,358.91568,-7.2358923,558.8947,21.090727,164.35098,8.870157,66.50096,19.21077,52.723873,-5.217749,45.343193,-1.2578813,40.803978,9.183968,59.584602,13.44578,37.77602,11.141016,45.5892,20.879143,32.449024,14.4340515,46.44042,7.5646214,49.38318,-9.416707,41.396637,-4.950433,22.24426,-9.706325,22.877378,-0.762718,31.630123,-6.05548,24.887949,3.0016453,27.994652,World-TRKZZIS128F426F033-7,World,TRKZZIS128F426F033,World
3.0,0.31279594,0.08564915,0.2355756,0.0021849019,1500.006704206197,167068.93398675259,2307.7210198666166,154383.4264271315,3328.619103064904,2142532.935149888,0.03771784855769231,0.00011474191789796366,0.0007764286,0.044393238,0.0044691404,0.0042850166,117.45383522727273,-89.34632,1062.2977,125.277,372.79395,21.399872,166.5039,22.391989,31.542418,13.808567,22.998486,9.153578,24.028719,3.227619,19.181705,3.571574,22.174538,-0.73033035,23.016624,1.3321428,25.552141,-2.418648,19.51833,-4.1886086,18.697344,-8.809291,18.485277,-4.6276298,23.974627,-3.070835,30.302036,-0.9881173,18.706505,-1.782257,22.689802,-0.28549406,20.133139,-1.9274285,25.775578,0.4419785,23.983046,World-TRXHOZL128F92D7A20-9,World,TRXHOZL128F92D7A20,World
3.0,0.33606794,0.07932984,0.21358542,0.004040744,1694.9559206980912,206296.8408501687,2054.6470701108783,158622.84494649555,3566.643817608173,1381696.5714123473,0.08067157451923077,0.0008851527603420281,-6.891504e-06,0.028809652,-0.0001355943,0.008447296,95.703125,-63.59988,2074.5764,131.18446,745.6856,-9.411684,135.5991,16.24797,140.81499,-1.6512078,70.39162,18.233894,228.89082,5.54095,114.4858,-5.823971,211.797,10.593919,96.19509,9.375467,49.418804,-8.105589,88.629944,7.1733456,37.07251,-3.881311,43.26102,1.2877704,30.292984,-3.3604097,38.636967,-5.464857,26.833654,-2.9739761,47.625927,1.4790347,34.16635,3.901653,40.121544,5.873172,45.07513,World-TREXRTM128F423EDD6-2,World,TREXRTM128F423EDD6,World
