length,chroma_stft_mean,chroma_stft_var,rms_mean,rms_var,spectral_centroid_mean,spectral_centroid_var,spectral_bandwidth_mean,spectral_bandwidth_var,rolloff_mean,rolloff_var,zero_crossing_rate_mean,zero_crossing_rate_var,harmony_mean,harmony_var,perceptr_mean,perceptr_var,tempo,mfcc1_mean,mfcc1_var,mfcc2_mean,mfcc2_var,mfcc3_mean,mfcc3_var,mfcc4_mean,mfcc4_var,mfcc5_mean,mfcc5_var,mfcc6_mean,mfcc6_var,mfcc7_mean,mfcc7_var,mfcc8_mean,mfcc8_var,mfcc9_mean,mfcc9_var,mfcc10_mean,mfcc10_var,mfcc11_mean,mfcc11_var,mfcc12_mean,mfcc12_var,mfcc13_mean,mfcc13_var,mfcc14_mean,mfcc14_var,mfcc15_mean,mfcc15_var,mfcc16_mean,mfcc16_var,mfcc17_mean,mfcc17_var,mfcc18_mean,mfcc18_var,mfcc19_mean,mfcc19_var,mfcc20_mean,mfcc20_var,filename,Genre,TrackID,label
3.0,0.29151455,0.07921236,0.15793595,0.0033759058,2526.3969236305297,264950.75427199015,2473.0107217674604,77377.56697052396,5053.677133413462,1237623.7030798162,0.13013446514423077,0.0014511667200799523,4.1075116e-05,0.017461075,0.00022724063,0.004506611,86.1328125,-75.60288,951.2054,77.88597,326.7782,-0.1989026,226.92879,43.941753,257.43695,6.6444545,75.72622,10.42457,119.14157,6.4545007,125.375854,10.200301,60.355625,-2.2043803,62.410156,12.354128,49.48263,-10.309978,154.43413,-0.89577264,40.517967,-6.1110363,57.058483,9.156561,77.16184,4.992737,82.15404,5.0676074,93.78155,-3.5756428,89.415924,-3.648345,120.589294,0.16142137,40.275513,6.6042843,78.42279,Country-TRTNKIL128F92E361A-2,Country,TRTNKIL128F92E361A,Country
3.0,0.34726313,0.079605736,0.25128224,0.001349431,2199.017142136508,69652.5845258064,2070.3179100628604,32536.62767237532,4175.122445913462,424292.8589581033,0.13956204927884616,0.0004775908007424259,-1.1905287e-05,0.045197137,-0.0002844527,0.007267197,135.99917763157896,-14.456076,579.44666,95.65341,125.111984,-30.452358,99.09167,39.110283,86.01,-0.36223707,27.259668,17.181175,47.399574,-3.0977497,45.426426,8.578156,52.843487,-5.146137,48.20761,9.412117,36.060905,5.639565,86.47521,-8.784377,22.967707,-5.302055,32.985756,1.2257874,37.900864,-4.205401,54.347897,-6.204638,112.35461,-7.901632,57.67777,1.9877208,49.106056,-2.79598,47.300385,3.2914937,31.242657,Country-TRISZNC12903CA4806-5,Country,TRISZNC12903CA4806,Country
3.0,0.40161335,0.08118798,0.21521655,0.0014035994,2512.8769130113023,102756.53430744536,2374.3043779327377,82990.88010085473,4913.214393028846,792199.8471897735,0.15193434495192307,0.0007030809983699279,-4.656742e-05,0.022094712,-0.00032413012,0.011941281,117.45383522727273,-7.015374,766.2203,84.448044,176.31923,-19.805628,211.50673,34.93001,53.43979,4.513756,50.945698,6.3993974,35.83413,-0.0608958,49.924683,-2.9865928,48.765327,1.0632883,55.95281,8.959347,49.45164,-6.7238083,46.20301,8.787286,40.729794,-3.9465463,47.61815,-5.9302125,47.767292,-8.0874605,28.767862,-1.4399673,44.497,-2.4289918,44.9338,-2.856627,30.048222,-1.3162144,54.16219,-2.6351547,57.03418,Country-TRSLOXT128F428F202-1,Country,TRSLOXT128F428F202,Country
3.0,0.37847304,0.088743776,0.18415211,0.0021871703,1712.3190368220453,72124.9147317217,2152.91893916223,72209.29943878255,3760.9395658052886,505725.6521539928,0.06633488581730769,0.00020029402343479136,4.3014385e-05,0.024799604,-3.6535082e-05,0.003844814,123.046875,-76.82648,883.5052,117.88479,228.05888,-0.5112057,129.27036,27.485134,63.088055,-9.506343,90.52229,8.364026,25.820051,5.5934796,120.66919,-5.788125,51.48467,-9.727736,60.910168,-7.220239,38.176197,-4.6546154,32.003048,-7.16296,28.87276,1.5494409,78.11837,0.26996848,24.62866,-12.311317,23.157784,-2.841151,24.124458,-13.943055,24.038687,-8.216585,18.981346,-14.8339815,26.861553,-6.228,41.166,Country-TRIPUJK12903D1387D-6,Country,TRIPUJK12903D1387D,Country
3.0,0.38567594,0.07916691,0.22557871,0.0013280059,1875.0866235271826,171165.87332267794,2184.5916231704573,114590.26206443361,3844.090857872596,1245461.6930980303,0.08301908052884616,0.000816816423066269,-5.5132194e-05,0.0330023,-0.0001931297,0.0082108015,129.19921875,-41.12503,1841.9143,111.90878,378.65222,-11.539733,319.18893,30.676373,123.1407,13.73576,53.694885,9.523508,228.36366,-4.5558724,50.10644,3.0942733,49.446102,-11.568096,62.164665,1.0182129,62.448277,-6.7176647,76.29469,2.558011,71.73058,-11.526146,65.79458,1.4016268,57.67827,-0.65706754,40.973564,2.4782166,36.650986,-6.0191283,45.474766,4.3849244,34.456844,-4.7970886,34.49637,-7.763687,36.655605,Country-TRMKGXJ128F423A067-2,Country,TRMKGXJ128F423A067,Country
3.0,0.3571074,0.09326965,0.14569865,0.0029068515,2638.986092602924,1138342.9857326727,2829.7354930536826,94698.57320369795,6118.990948016827,1970491.2954787884,0.11888146033653846,0.011787649992655014,-4.3531785e-05,0.013831607,-0.000121643156,0.0045763217,161.4990234375,-103.347115,3364.0828,82.06949,607.8422,25.294275,544.3471,8.893733,175.87473,8.136401,146.6468,11.683423,114.40483,0.38143945,127.94276,10.349857,94.09146,-3.4477153,82.096634,-1.799356,64.663666,-7.375736,51.80357,-4.6488357,42.28296,3.1885428,60.85647,10.552768,41.15664,1.2280701,43.892555,-3.762453,78.35473,-9.913189,42.32076,-5.9669404,52.29994,-3.6199713,76.4084,9.19553,77.59964,Country-TRGLPXN128F42591A4-9,Country,TRGLPXN128F42591A4,Country
3.0,0.42889056,0.0808274,0.21185005,0.0020617906,2513.3256556334727,589916.861823721,2301.0360054454604,151278.97142515055,4895.822190504808,1733256.4868011419,0.14569185697115383,0.004353307817109238,-6.0209397e-05,0.02484388,-0.00019462012,0.008832044,107.666015625,-17.756868,1159.2473,85.102,646.8733,-19.553696,542.6532,37.212215,89.731186,0.20367008,93.530594,14.738946,54.537476,-1.6162357,65.98701,6.661836,58.34185,0.90380394,30.79998,5.685439,39.825855,-8.699224,33.890736,5.223586,34.497627,1.0300171,46.863853,0.28365222,60.68029,-5.538032,50.7798,-3.9336615,58.020447,-7.221055,38.1752,2.5687392,31.533766,-5.8686733,84.68601,-3.9371657,73.83783,Country-TRFNMWZ128F42648B9-5,Country,TRFNMWZ128F42648B9,Country
3.0,0.35435057,0.08749115,0.19593689,0.0022876824,2095.643745999239,416127.0518971421,2390.2253887201973,233045.60963705787,4526.610576923077,2766942.7140670414,0.09262319711538461,0.0010846022318100788,-3.4713794e-05,0.022284886,-0.0001644838,0.0076954807,135.99917763157896,-57.06311,1719.2748,109.16921,647.6633,-1.6610835,395.4258,21.293732,153.97026,1.5957586,228.38011,5.202138,57.78249,5.381357,193.85606,1.6080923,58.39201,-12.345087,46.062874,-5.107402,40.17596,-2.025409,56.007053,4.5952883,28.925592,-0.570987,41.438087,2.0432363,41.580753,-4.6687946,60.47211,1.7394165,83.67831,-7.0516887,82.71977,-2.981752,38.21677,-9.950475,49.956047,2.5914729,98.5406,Country-TRUTNVB128F92F3682-9,Country,TRUTNVB128F92F3682,Country
3.0,0.29169434,0.09209311,0.09694625,0.001280838,1231.022518727615,56469.94640548144,1662.2211733750355,34140.01422847653,2391.5106670673076,401570.8674468938,0.046337890625,0.0003996036602900579,-2.456294e-05,0.007216918,-4.2607753e-05,0.0016105969,112.34714673913044,-206.649,3461.0525,146.8515,259.8516,-7.961793,267.9488,27.78937,204.75865,-9.815642,195.28593,7.766609,69.85542,5.4374065,85.028496,7.8860183,58.308548,-16.091156,82.09262,11.319183,170.58138,-3.2012405,71.668915,5.026466,51.231827,-6.668645,34.143482,-11.664016,66.60491,0.04516408,63.599255,-3.622159,41.406227,-10.3389,22.926249,-1.5435826,29.559204,-9.869625,29.70233,-5.97175,30.913633,Country-TRFOTVS128F92D858D-6,Country,TRFOTVS128F92D858D,Country
3.0,0.2730022,0.08196311,0.24380073,0.0017069528,2313.4154878758054,306331.09736752306,2884.3989176783844,108950.37257385353,5572.627328725962,2885023.6056381427,0.08640324519230769,0.001016579633633766,-8.525552e-06,0.038727257,-0.00020657045,0.009337866,151.99908088235293,-45.23406,1009.421,104.7132,321.03857,14.54557,220.164,14.321242,106.47768,12.1523905,77.106,-6.7174926,124.22356,7.4017324,98.75083,-8.288465,97.638084,8.132446,92.223114,-0.025035564,84.12396,-8.212806,51.50076,-5.4675207,64.66118,-6.1443334,53.22639,3.067239,39.509697,-13.517834,87.927055,-3.535026,60.553505,-9.272157,36.3061,-0.42794296,49.721138,-7.8778667,74.7904,10.184136,155.34056,Country-TRFQBYI128F92EC3EF-9,Country,TRFQBYI128F92EC3EF,Country
