track_id,tags,genre,energy,key,valence,tempo_x,time_signature,chroma_stft_mean,chroma_stft_var,rms_var,spectral_centroid_mean,spectral_centroid_var,harmony_mean,perceptr_mean,tempo_y,mfcc1_variance,mfcc3_mean,mfcc3_variance,mfcc4_mean,mfcc4_variance,mfcc5_mean,mfcc6_mean,mfcc7_mean,mfcc8_mean,mfcc9_mean,mfcc10_mean,mfcc11_mean,mfcc12_mean,mfcc13_mean,mfcc14_mean,mfcc15_mean,mfcc16_mean,mfcc17_mean,mfcc18_mean,mfcc19_mean,mfcc20_mean
TRJCTQH12903CB4221,"rock, reggae, nu_metal",Electronic,0.851,0,0.591,96.634,4,0.4652778,0.08050345,0.006376239,2586.7189439422714,596144.9053856946,1.3846318e-05,-0.00046555037,95.703125,5266.552,4.6879582,637.46796,39.446213,140.30205,6.8146496,13.695842,1.9720669,10.106801,-0.8994588,4.692218,-0.61974454,6.3148975,-3.733977,3.9291244,-3.723185,2.1779609,-4.017094,1.3878021,-1.7578176,1.5816864
TRPBSUV128F9341F1D,"reggae, french",Blues,0.456,9,0.477,141.929,4,0.44454765,0.0871618,0.0034894343,2165.9592302780843,633887.6043708278,8.626771e-06,-2.763825e-05,143.5546875,5785.0776,-21.69635,840.05707,37.679665,449.37296,6.837493,5.719863,4.149442,2.6628468,-0.37206832,7.9046936,0.99228466,8.554207,9.28711,9.949757,3.5106246,2.6483736,-2.9004931,2.3418963,-1.4263386,2.5744138
TRTUEHJ128F42934A5,"reggae, ska",Reggae,0.93,0,0.961,91.972,4,0.4155715,0.09010652,0.008252136,2062.9474109456805,569936.2083960088,3.4992354e-05,-8.447069e-05,92.28515625,3034.226,-3.1122713,566.9678,25.736038,220.13675,5.406664,3.1240191,0.83961606,0.26279366,-2.3335092,2.3097634,-7.794903,1.1079923,-4.539735,4.208393,-5.3854594,-1.3716146,-5.267911,-0.37549642,-1.7926003,-0.31241414
TRPDAXQ128E078F16C,reggae,Reggae,0.156,9,0.719,127.43,4,0.39629358,0.097479604,0.001049387,2218.240183085036,965807.0718960646,-0.0033055486,-0.0019395561,129.19921875,5986.8906,17.813837,693.7237,16.284876,295.97824,9.435109,15.904539,0.7133205,9.923836,1.9799527,8.135892,1.8652711,2.7332745,3.141703,7.25093,3.4160042,7.869816,-5.3448896,1.1119319,-4.0239477,-2.359052
TRHAROJ128F9326578,"house, reggae",Reggae,0.631,7,0.318,125.428,4,0.5453547,0.07530567,0.011163726,2014.1139302391853,682188.8407524255,-7.48394e-06,3.7953814e-05,123.046875,1701.0356,10.335473,546.1987,31.111105,402.26086,13.793359,17.45149,1.8853608,8.675886,2.5632184,2.7681763,2.174223,6.1133356,1.5628418,0.17577475,-5.0016894,6.8180494,-4.0990353,-1.2111117,0.6490385,2.5183518
TRIPUDU128F9336C0F,reggae,Reggae,0.33,0,0.546,74.08,4,0.3848613,0.09962981,0.0034131457,2616.146053515361,1912641.1332524703,-4.6312634e-06,-0.00015702745,151.99908088235293,9568.402,6.7449055,1198.8893,40.18061,484.72446,19.653364,7.182451,7.442525,5.2479525,2.7977965,7.947183,4.648968,1.8932395,-2.8878043,5.570146,-1.5751644,-0.62403184,-3.6741374,-0.021559961,1.6834364,3.2072413
TRXHDTY128F423B588,"soul, reggae",Rap,0.689,7,0.241,102.94,4,0.3378013,0.095466934,0.008438567,2296.689487089926,899872.4867212835,-0.00067709124,0.00038319614,135.99917763157896,2579.4263,19.740128,726.20905,11.611794,346.79422,8.778288,3.393904,3.4285657,5.5579896,-7.414637,-1.027491,-8.066399,-1.5564967,0.37194324,6.7005997,1.3111192,6.5480947,1.212629,3.80361,-5.529605,-0.8087386
TRODKDS128F4272987,reggae,Reggae,0.515,1,0.779,139.918,4,0.37570268,0.09006476,0.003985614,2302.6320325128104,391356.7396099767,-7.135476e-06,-5.6669982e-05,143.5546875,2271.8997,9.41423,296.9783,32.51689,308.72336,-0.13189472,11.30908,4.0914044,2.7002604,-1.9047749,5.3681035,-2.007953,3.2797928,-2.3830657,4.465023,-0.07509214,7.14304,-6.1232653,3.345227,-2.7910416,1.6302826
TRLDXDN128E0798B8D,"hip_hop, reggae",Reggae,0.875,10,0.769,90.828,4,0.43502483,0.09120272,0.012155965,2783.451683566218,966266.6913418024,2.2256727e-06,0.00012291009,117.45383522727272,2209.1238,-6.0914855,664.47516,3.4905765,296.21036,10.578722,6.1196938,-3.1512046,16.810173,-0.89067715,6.0529876,2.4809277,-3.2406895,-0.7780175,9.176174,4.053841,6.979149,2.9820912,6.3791585,-4.6199737,-2.483161
TRDTODK128F1458778,reggae,Reggae,0.256,5,0.418,120.506,4,0.32963955,0.10102813,0.0040121726,2040.2747410034224,975998.0181622364,-4.017589e-05,4.8780767e-06,123.046875,5205.757,15.373817,431.61252,46.787975,244.7126,17.292849,8.419494,-2.1329114,5.9873476,-1.1264986,5.996807,1.7850499,0.41206515,0.10237788,-0.56379473,-9.195899,5.267711,-8.3425255,-2.6066663,-11.242105,-5.0693913
